complaint_text,category,priority,location,date
pressure tumba low ide Hebbal nalli.,Supply,Low,Hebbal,2026-01-09
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Hebbal,2025-12-26
"kudiyoke agalla, neeru halagide.",Contamination,High,Hebbal,2026-02-21
"No leakage, just a few drops coming out in Rajajinagar.",Leakage,Low,Rajajinagar,2025-12-18
Foul odor coming from the supplied water.,Contamination,Medium,Hebbal,2026-01-02
1 week ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Yelahanka,2025-12-10
neeru full black agide Indiranagar nalli.,Contamination,High,Indiranagar,2026-01-16
sewage mix agide neeru jote.,Contamination,Medium,HSR Layout,2026-01-03
The public drain is choked and overflowing heavily.,Drainage,High,Whitefield,2026-02-02
Foul odor coming from the supplied water.,Contamination,Low,Yelahanka,2025-12-21
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Rajajinagar,2025-12-26
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Yelahanka,2025-12-21
Drinking water is contaminated in Rajajinagar.,Contamination,Medium,Rajajinagar,2026-01-15
We are not getting water in Rajajinagar.,Supply,Medium,Rajajinagar,2025-12-26
tumba neeru waste agthide Indiranagar nalli due to leak.,Leakage,Medium,Indiranagar,2025-12-25
"Pipe burst in Rajajinagar, water is everywhere.",Leakage,High,Rajajinagar,2025-12-22
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Indiranagar,2026-02-13
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Rajajinagar,2025-12-16
"Water timing is not followed, please fix.",Supply,Low,Indiranagar,2026-01-18
drain is flul of grabage.,Drainage,Medium,Jayanagar,2026-01-25
morning ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Rajajinagar,2026-02-21
drinage blok in frnt of house.,Drainage,Medium,Rajajinagar,2025-12-20
Water dripping from the street valve near Hebbal.,Leakage,Medium,Hebbal,2026-02-20
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Whitefield,2025-12-27
pressure tumba low ide KR Puram nalli.,Supply,Low,KR Puram,2025-12-05
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,HSR Layout,2025-12-08
Jayanagar ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Jayanagar,2025-12-09
No water supply since 2 days.,Supply,High,Marathahalli,2025-12-14
Marathahalli ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Marathahalli,2026-01-18
No water supply since today.,Supply,High,HSR Layout,2026-02-14
Mosquitoes increasing because of drainage leak.,Drainage,Medium,HSR Layout,2026-01-15
tumba neeru waste agthide Whitefield nalli due to leak.,Leakage,Medium,Whitefield,2026-02-03
Low water pressure today.,Supply,Low,Hebbal,2025-12-22
"Minor leak, only drops coming out from the pipe at Jayanagar.",Leakage,Low,Jayanagar,2026-03-04
The water is brown and has particles in it.,Contamination,Medium,HSR Layout,2026-02-12
drain is flul of grabage.,Drainage,Medium,Jayanagar,2026-02-22
Water smells bad and is yellowish.,Contamination,High,Marathahalli,2026-02-17
Hebbal ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Hebbal,2026-01-08
Water is not safe for drinking today.,Contamination,Medium,Marathahalli,2026-02-18
"swalpa leak agtide, just drops HSR Layout hatra.",Leakage,Low,HSR Layout,2026-02-21
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,KR Puram,2026-01-19
bad smll wter cming frm tap.,Contamination,Low,Whitefield,2026-02-03
Broken pipe causing flooding near Whitefield.,Leakage,Medium,Whitefield,2026-02-07
getting dirty water for drinking.,Contamination,Medium,Marathahalli,2025-12-31
sewage mix agide neeru jote.,Contamination,Medium,KR Puram,2026-01-20
getting dirty water for drinking.,Contamination,Medium,Hebbal,2025-12-17
Drainage is blocked and overflowing in Whitefield.,Drainage,High,Whitefield,2026-02-15
"Pipe burst in Yelahanka, water is everywhere.",Leakage,Medium,Yelahanka,2026-02-01
neeralli kachara barthide.,Contamination,Medium,Electronic City,2026-02-07
We are not getting water in Rajajinagar.,Supply,Medium,Rajajinagar,2026-02-13
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Yelahanka,2026-02-20
neeru sari yagi supply agthilla.,Supply,High,Rajajinagar,2026-01-25
Drinking water is contaminated in HSR Layout.,Contamination,Medium,HSR Layout,2026-01-09
getting dirty water for drinking.,Contamination,Medium,Electronic City,2026-01-23
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Rajajinagar,2026-02-04
No supply at all in Jayanagar.,Supply,Medium,Jayanagar,2026-02-24
sewage neeru rastege bartide.,Drainage,High,HSR Layout,2026-01-27
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Indiranagar,2026-02-11
"No leakage, just a few drops coming out in Jayanagar.",Leakage,Low,Jayanagar,2026-01-16
The public drain is choked and overflowing heavily.,Drainage,High,Indiranagar,2026-01-10
"KR Puram ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,KR Puram,2025-12-27
manhole open ide mattu overflow agthide.,Drainage,Medium,Hebbal,2026-02-23
Sewage mixed with drinking water.,Contamination,High,Hebbal,2026-02-16
The water is brown and has particles in it.,Contamination,Medium,Marathahalli,2026-01-12
HSR Layout ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,HSR Layout,2026-01-04
Sewage mixed with drinking water.,Contamination,High,Rajajinagar,2025-12-19
watr suply is vry bad in KR Puram.,Supply,Medium,KR Puram,2026-02-21
"swalpa leak agtide, just drops Rajajinagar hatra.",Leakage,Low,Rajajinagar,2026-01-31
"No leakage, just a few drops coming out in Marathahalli.",Leakage,Low,Marathahalli,2025-12-21
"Pipe burst in Marathahalli, water is everywhere.",Leakage,High,Marathahalli,2026-03-03
"Water timing is not followed, please fix.",Supply,Low,Whitefield,2025-12-21
Water is muddy and unhygienic.,Contamination,Medium,Hebbal,2026-02-13
Drinking water is contaminated in Electronic City.,Contamination,Medium,Electronic City,2026-02-04
sewage neeru rastege bartide.,Drainage,High,Whitefield,2026-02-14
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Electronic City,2026-01-20
Water dripping from the street valve near Marathahalli.,Leakage,Medium,Marathahalli,2026-01-02
Jayanagar ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Jayanagar,2025-12-12
KR Puram ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,KR Puram,2025-12-22
Water is muddy and unhygienic.,Contamination,Medium,Jayanagar,2026-01-31
Taps are leaking continuously.,Leakage,Medium,Indiranagar,2026-01-22
HSR Layout ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,HSR Layout,2026-02-06
water pipe odedide Whitefield nalli.,Leakage,High,Whitefield,2025-12-05
Broken pipe causing flooding near Jayanagar.,Leakage,Medium,Jayanagar,2025-12-27
No supply at all in Whitefield.,Supply,Medium,Whitefield,2026-02-01
Water supply is very erratic in our area.,Supply,Medium,Marathahalli,2026-02-20
Water dripping from the street valve near Whitefield.,Leakage,Medium,Whitefield,2025-12-08
charandi block agide Whitefield nalli.,Drainage,Medium,Whitefield,2026-02-15
vasane bartide neerinda Whitefield.,Contamination,Low,Whitefield,2025-12-24
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,KR Puram,2026-01-20
Sewage mixed with drinking water.,Contamination,High,Indiranagar,2026-03-01
Taps are leaking continuously.,Leakage,Medium,Indiranagar,2026-02-06
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Whitefield,2025-12-14
neeru sari yagi supply agthilla.,Supply,High,KR Puram,2026-02-23
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Indiranagar.,Leakage,Medium,Indiranagar,2025-12-15
sewage mix agide neeru jote.,Contamination,Medium,Hebbal,2025-12-18
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Whitefield,2026-01-02
Broken pipe causing flooding near Yelahanka.,Leakage,Medium,Yelahanka,2025-12-14
"Gutter is blocked, very bad smell.",Drainage,Low,HSR Layout,2025-12-29
neeru leak agthide Yelahanka hatra.,Leakage,Medium,Yelahanka,2025-12-06
"drnking watr is nt gud, it is plluted.",Contamination,Medium,Hebbal,2025-12-28
sewage neeru rastege bartide.,Drainage,High,Marathahalli,2026-02-15
neeru sari yagi supply agthilla.,Supply,High,Jayanagar,2026-01-09
We are not getting water in Whitefield.,Supply,High,Whitefield,2025-12-15
Water supply is very erratic in our area.,Supply,High,Yelahanka,2026-01-27
neeru full black agide KR Puram nalli.,Contamination,High,KR Puram,2026-02-16
Sewage mixed with drinking water.,Contamination,High,Hebbal,2026-03-02
Manhole is open and overflowing.,Drainage,High,Yelahanka,2026-02-10
no suply of watr since yesterday.,Supply,Medium,Whitefield,2025-12-21
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Rajajinagar,2025-12-27
manhole open ide mattu overflow agthide.,Drainage,Medium,Rajajinagar,2026-01-24
We are not getting water in Indiranagar.,Supply,Medium,Indiranagar,2026-01-15
Pipe is cracked and leaking water at Marathahalli.,Leakage,Medium,Marathahalli,2026-03-05
Huge water leak at Marathahalli.,Leakage,Medium,Marathahalli,2026-01-24
Please clear the blocked drainage near KR Puram.,Drainage,Medium,KR Puram,2026-02-20
vasane bartide neerinda Marathahalli.,Contamination,Low,Marathahalli,2026-01-31
The public drain is choked and overflowing heavily.,Drainage,High,Hebbal,2026-02-20
Water smells bad and is yellowish.,Contamination,High,KR Puram,2026-02-11
drain is flul of grabage.,Drainage,Medium,Rajajinagar,2026-02-24
"No leakage, just a few drops coming out in HSR Layout.",Leakage,Low,HSR Layout,2026-02-14
"swalpa leak agtide, just drops Jayanagar hatra.",Leakage,Low,Jayanagar,2026-01-04
Please clear the blocked drainage near Rajajinagar.,Drainage,Medium,Rajajinagar,2026-01-18
sewage neeru rastege bartide.,Drainage,High,Jayanagar,2026-02-18
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Electronic City,2025-12-22
"Minor leak, only drops coming out from the pipe at Whitefield.",Leakage,Low,Whitefield,2026-02-01
Manhole is open and overflowing.,Drainage,High,Marathahalli,2025-12-17
Not enough water pressure to reach the overhead tank.,Supply,Low,HSR Layout,2026-02-25
The public drain is choked and overflowing heavily.,Drainage,High,Jayanagar,2026-02-26
"No leakage, just a few drops coming out in Indiranagar.",Leakage,Low,Indiranagar,2025-12-30
No water supply since morning.,Supply,High,Indiranagar,2026-01-19
Sewage mixed with drinking water.,Contamination,High,Rajajinagar,2026-02-03
Electronic City ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,Electronic City,2026-01-15
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Electronic City,2025-12-13
Drinking water is contaminated in Electronic City.,Contamination,Medium,Electronic City,2026-01-10
"Pipe burst in Indiranagar, water is everywhere.",Leakage,High,Indiranagar,2026-01-14
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Marathahalli,2026-02-26
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Rajajinagar.",Leakage,Low,Rajajinagar,2026-01-21
neeru leak agthide Indiranagar hatra.,Leakage,Medium,Indiranagar,2025-12-11
Rajajinagar ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Rajajinagar,2026-01-22
"swalpa leak agtide, just drops Electronic City hatra.",Leakage,Low,Electronic City,2026-02-19
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Whitefield,2025-12-25
Water supply is very erratic in our area.,Supply,Medium,Hebbal,2026-01-04
yaavaga neeru bartade? last night inda kawtidivi.,Supply,Medium,Hebbal,2026-02-24
KR Puram ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,KR Puram,2026-01-10
Water supply is very erratic in our area.,Supply,Medium,Rajajinagar,2026-01-17
water pipe odedide Hebbal nalli.,Leakage,High,Hebbal,2025-12-26
Water is leaking from the main pipe near Yelahanka.,Leakage,Medium,Yelahanka,2026-02-28
When will water come today? No supply.,Supply,Medium,Indiranagar,2026-02-13
The public drain is choked and overflowing heavily.,Drainage,High,Marathahalli,2025-12-12
manhole open ide mattu overflow agthide.,Drainage,Medium,KR Puram,2026-01-01
Marathahalli ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,Marathahalli,2026-02-21
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Hebbal,2025-12-08
No supply at all in KR Puram.,Supply,Medium,KR Puram,2026-01-21
HSR Layout ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,HSR Layout,2026-02-20
Jayanagar ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Jayanagar,2026-01-10
Manhole is open and overflowing.,Drainage,High,Whitefield,2025-12-07
neeralli kachara barthide.,Contamination,Medium,Rajajinagar,2026-02-28
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Rajajinagar,2026-01-05
"Whitefield ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Whitefield,2026-02-06
Drainage is blocked and overflowing in Electronic City.,Drainage,High,Electronic City,2026-01-25
sewage neeru rastege bartide.,Drainage,High,Jayanagar,2026-01-18
Water is not safe for drinking today.,Contamination,Medium,Jayanagar,2025-12-26
water colour is black.,Contamination,High,Electronic City,2026-01-15
watr lekng frm pip Yelahanka.,Leakage,Medium,Yelahanka,2025-12-17
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Rajajinagar,2026-02-17
"drnking watr is nt gud, it is plluted.",Contamination,Medium,Whitefield,2025-12-05
water colour is black.,Contamination,High,Hebbal,2026-01-01
drain is flul of grabage.,Drainage,Medium,KR Puram,2026-01-16
manhole open ide mattu overflow agthide.,Drainage,Medium,Indiranagar,2026-01-15
We are not getting water in Hebbal.,Supply,Medium,Hebbal,2026-02-04
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Marathahalli,2025-12-18
getting dirty water for drinking.,Contamination,Medium,Indiranagar,2026-01-19
water colour is black.,Contamination,High,Jayanagar,2026-01-20
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Yelahanka.",Leakage,Low,Yelahanka,2026-03-05
We are not getting water in KR Puram.,Supply,Medium,KR Puram,2026-01-20
3 days ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Electronic City,2026-02-16
leakage problem since 2 days in Marathahalli.,Leakage,High,Marathahalli,2026-02-01
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Whitefield,2026-03-04
No supply at all in HSR Layout.,Supply,Medium,HSR Layout,2026-01-04
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Electronic City,2026-02-19
Kaveri neeru bandilla.,Supply,High,Yelahanka,2026-02-04
"Gutter is blocked, very bad smell.",Drainage,Low,Whitefield,2025-12-30
drinage blok in frnt of house.,Drainage,Medium,KR Puram,2026-02-03
Huge water leak at Indiranagar.,Leakage,Medium,Indiranagar,2026-01-11
Kaveri neeru bandilla.,Supply,High,Electronic City,2026-01-24
We have been waiting for water since today.,Supply,Medium,Indiranagar,2026-01-26
The public drain is choked and overflowing heavily.,Drainage,High,Yelahanka,2025-12-26
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Indiranagar,2026-01-19
"No leakage, just a few drops coming out in Marathahalli.",Leakage,Low,Marathahalli,2026-02-20
No supply at all in Indiranagar.,Supply,High,Indiranagar,2026-02-09
neeru full black agide Hebbal nalli.,Contamination,High,Hebbal,2025-12-19
Water is leaking from the main pipe near Electronic City.,Leakage,Medium,Electronic City,2025-12-31
There is a severe water leak at the intersection in Whitefield.,Leakage,Medium,Whitefield,2026-02-19
We have been waiting for water since morning.,Supply,Medium,Jayanagar,2026-02-05
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Rajajinagar,2026-02-03
manhole open ide mattu overflow agthide.,Drainage,Medium,Marathahalli,2026-01-28
neeru full black agide HSR Layout nalli.,Contamination,High,HSR Layout,2026-03-04
neeru full black agide KR Puram nalli.,Contamination,Low,KR Puram,2026-02-17
Not enough water pressure to reach the overhead tank.,Supply,Low,Whitefield,2026-01-10
watr lekng frm pip Whitefield.,Leakage,Medium,Whitefield,2025-12-28
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Rajajinagar,2026-01-13
no suply of watr since 2 days.,Supply,High,Rajajinagar,2026-02-26
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Yelahanka,2026-02-16
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,HSR Layout,2026-03-04
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ KR Puram.,Leakage,Medium,KR Puram,2026-02-07
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,KR Puram,2026-02-15
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Jayanagar,2025-12-22
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,KR Puram,2026-01-16
drain is flul of grabage.,Drainage,Medium,Marathahalli,2025-12-11
"Water wastage due to a leak at Hebbal, please fix immediately.",Leakage,High,Hebbal,2026-01-27
full kachara tumbide drain nalli.,Drainage,Medium,Yelahanka,2026-01-11
neeru sari yagi supply agthilla.,Supply,High,Hebbal,2026-01-15
neeru full black agide Rajajinagar nalli.,Contamination,High,Rajajinagar,2026-02-10
Water dripping from the street valve near Marathahalli.,Leakage,Medium,Marathahalli,2026-02-17
"swalpa leak agtide, just drops Whitefield hatra.",Leakage,Low,Whitefield,2026-01-17
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Indiranagar,2026-02-02
no suply of watr since last night.,Supply,Medium,Rajajinagar,2026-01-28
vasane bartide neerinda KR Puram.,Contamination,Low,KR Puram,2026-01-01
"drnking watr is nt gud, it is plluted.",Contamination,Medium,Rajajinagar,2026-02-22
bad smll wter cming frm tap.,Contamination,Low,HSR Layout,2025-12-26
Not enough water pressure to reach the overhead tank.,Supply,Low,Jayanagar,2026-02-03
charandi block agide HSR Layout nalli.,Drainage,Medium,HSR Layout,2026-02-27
pressure tumba low ide HSR Layout nalli.,Supply,Low,HSR Layout,2026-01-15
"kudiyoke agalla, neeru halagide.",Contamination,High,Marathahalli,2025-12-14
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Marathahalli,2026-01-19
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Hebbal,2026-01-28
Kaveri neeru bandilla.,Supply,High,Rajajinagar,2025-12-11
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Indiranagar,2026-01-12
"swalpa leak agtide, just drops Jayanagar hatra.",Leakage,Low,Jayanagar,2026-01-31
neeralli kachara barthide.,Contamination,Medium,Hebbal,2025-12-27
Electronic City ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Electronic City,2025-12-09
sewage neeru rastege bartide.,Drainage,High,Marathahalli,2025-12-10
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Indiranagar,2025-12-15
When will water come today? No supply.,Supply,Medium,KR Puram,2026-01-24
no suply of watr since morning.,Supply,Medium,Jayanagar,2025-12-10
"Water wastage due to a leak at Rajajinagar, please fix immediately.",Leakage,High,Rajajinagar,2026-02-26
"drnking watr is nt gud, it is plluted.",Contamination,Medium,Rajajinagar,2025-12-28
Not enough water pressure to reach the overhead tank.,Supply,Low,Jayanagar,2025-12-25
sewage neeru rastege bartide.,Drainage,High,Indiranagar,2025-12-31
"Minor leak, only drops coming out from the pipe at Electronic City.",Leakage,Low,Electronic City,2025-12-28
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Hebbal,2026-02-27
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Hebbal,2025-12-15
Drinking water is contaminated in Yelahanka.,Contamination,Medium,Yelahanka,2026-01-27
